"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","6725992.0","3616254.0","3109738.0","540540.0","2569198.0","318973.0","2250225.0","1010539.0","1239686.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","136855.0","60288.0","76567.0","27855.0","48712.0","803.0","47909.0","21052.0","26857.0"
"１．産業_(1)農林水産業_①農業","110085.0","45428.0","64657.0","25729.0","38928.0","337.0","38591.0","15389.0","23202.0"
"１．産業_(1)農林水産業_②林業","6361.0","3453.0","2908.0","1175.0","1733.0","171.0","1562.0","2009.0","-447.0"
"１．産業_(1)農林水産業_③水産業","20409.0","11407.0","9002.0","951.0","8051.0","295.0","7756.0","3654.0","4102.0"
"１．産業_(2)鉱業","4729.0","2746.0","1983.0","614.0","1369.0","115.0","1254.0","396.0","858.0"
"","","","","","","","","",""
"１．産業_(3)製造業","3209826.0","2183573.0","1026253.0","85783.0","940470.0","205704.0","734766.0","255301.0","479465.0"
"１．産業_(3)製造業_①食料品","174501.0","119317.0","55184.0","6559.0","48625.0","13586.0","35039.0","30542.0","4497.0"
"１．産業_(3)製造業_②繊維","60247.0","41240.0","19007.0","2703.0","16304.0","1398.0","14906.0","11242.0","3664.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","22577.0","16203.0","6374.0","843.0","5531.0","507.0","5024.0","3891.0","1133.0"
"１．産業_(3)製造業_④化学","277039.0","164374.0","112665.0","21042.0","91623.0","7877.0","83746.0","32324.0","51422.0"
"１．産業_(3)製造業_⑤石油･石炭製品","859274.0","739522.0","119752.0","8767.0","110985.0","133174.0","-22189.0","8004.0","-30193.0"
"１．産業_(3)製造業_⑥窯業･土石製品","30698.0","19980.0","10718.0","840.0","9878.0","782.0","9096.0","5730.0","3366.0"
"１．産業_(3)製造業_⑦鉄鋼","1018736.0","679513.0","339223.0","20509.0","318714.0","25861.0","292853.0","28840.0","264013.0"
"１．産業_(3)製造業_⑧非鉄金属","37015.0","21954.0","15061.0","2784.0","12277.0","1036.0","11241.0","2955.0","8286.0"
"１．産業_(3)製造業_⑨金属製品","92931.0","49568.0","43363.0","2137.0","41226.0","2690.0","38536.0","17544.0","20992.0"
"１．産業_(3)製造業_⑩一般機械","344364.0","150691.0","193673.0","5750.0","187923.0","11300.0","176623.0","41654.0","134969.0"
"１．産業_(3)製造業_⑪電気機械","51350.0","34725.0","16625.0","2632.0","13993.0","1285.0","12708.0","20885.0","-8177.0"
"１．産業_(3)製造業_⑫輸送機械","14653.0","4721.0","9932.0","570.0","9362.0","517.0","8845.0","3237.0","5608.0"
"１．産業_(3)製造業_⑬精密機械","44490.0","29499.0","14991.0","4152.0","10839.0","1135.0","9704.0","9199.0","505.0"
"１．産業_(3)製造業_⑭その他の製造業","181950.0","112265.0","69685.0","6495.0","63190.0","4556.0","58634.0","39254.0","19380.0"
"","","","","","","","","",""
"１．産業_(4)建設業","389860.0","223656.0","166204.0","20174.0","146030.0","8425.0","137605.0","80477.0","57128.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","278420.0","186796.0","91624.0","32032.0","59592.0","8358.0","51234.0","31951.0","19283.0"
"１．産業_(6)卸売･小売業","494022.0","175792.0","318230.0","34208.0","284022.0","21212.0","262810.0","109592.0","153218.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","275073.0","88234.0","186839.0","19291.0","167548.0","616.0","166932.0","50413.0","116519.0"
"１．産業_(8)不動産業","483379.0","83179.0","400200.0","149759.0","250441.0","28268.0","222173.0","8279.0","213894.0"
"１．産業_(9)運輸業","288625.0","133072.0","155553.0","32554.0","122999.0","11301.0","111698.0","74888.0","36810.0"
"１．産業_(10)情報通信業","150342.0","68024.0","82318.0","19321.0","62997.0","4741.0","58256.0","14917.0","43339.0"
"１．産業_(11)サ－ビス業","1014861.0","410894.0","603967.0","118949.0","485018.0","29430.0","455588.0","363273.0","92315.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","500434.0","96738.0","403696.0","114410.0","289286.0","483.0","288803.0","288803.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","28698.0","13583.0","15115.0","12465.0","2650.0","0.0","2650.0","2650.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","128134.0","17889.0","110245.0","3986.0","106259.0","27.0","106232.0","106232.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","343602.0","65266.0","278336.0","97959.0","180377.0","456.0","179921.0","179921.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","118434.0","36690.0","81744.0","7454.0","74290.0","1633.0","72657.0","72657.0","0.0"
