"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","6500934.0","3440044.0","3060888.0","560533.0","2500355.0","288920.0","2211435.0","990139.0","1221296.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","126388.0","51305.0","75083.0","24218.0","50865.0","466.0","50399.0","23095.0","27304.0"
"１．産業_(1)農林水産業_①農業","106189.0","40196.0","65993.0","22499.0","43494.0","72.0","43422.0","17720.0","25702.0"
"１．産業_(1)農林水産業_②林業","4415.0","2145.0","2270.0","777.0","1493.0","166.0","1327.0","2450.0","-1123.0"
"１．産業_(1)農林水産業_③水産業","15784.0","8964.0","6820.0","942.0","5878.0","228.0","5650.0","2925.0","2725.0"
"１．産業_(2)鉱業","2921.0","1686.0","1235.0","522.0","713.0","71.0","642.0","149.0","493.0"
"","","","","","","","","",""
"１．産業_(3)製造業","3000719.0","2007613.0","993104.0","121120.0","871984.0","188461.0","683523.0","260182.0","423341.0"
"１．産業_(3)製造業_①食料品","217070.0","146329.0","70741.0","6499.0","64242.0","15040.0","49202.0","30958.0","18244.0"
"１．産業_(3)製造業_②繊維","47150.0","27606.0","19544.0","2637.0","16907.0","1205.0","15702.0","9937.0","5765.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","19499.0","15003.0","4496.0","687.0","3809.0","394.0","3415.0","3068.0","347.0"
"１．産業_(3)製造業_④化学","333875.0","194520.0","139355.0","22876.0","116479.0","9317.0","107162.0","34429.0","72733.0"
"１．産業_(3)製造業_⑤石油･石炭製品","804784.0","581865.0","222919.0","11380.0","211539.0","124333.0","87206.0","8820.0","78386.0"
"１．産業_(3)製造業_⑥窯業･土石製品","47148.0","23124.0","24024.0","1132.0","22892.0","1415.0","21477.0","6539.0","14938.0"
"１．産業_(3)製造業_⑦鉄鋼","859740.0","664330.0","195410.0","52601.0","142809.0","17773.0","125036.0","29400.0","95636.0"
"１．産業_(3)製造業_⑧非鉄金属","33402.0","29583.0","3819.0","1474.0","2345.0","547.0","1798.0","2863.0","-1065.0"
"１．産業_(3)製造業_⑨金属製品","72891.0","36641.0","36250.0","2568.0","33682.0","2114.0","31568.0","19024.0","12544.0"
"１．産業_(3)製造業_⑩一般機械","291049.0","130492.0","160557.0","5618.0","154939.0","9237.0","145702.0","39419.0","106283.0"
"１．産業_(3)製造業_⑪電気機械","62312.0","43708.0","18604.0","4294.0","14310.0","1439.0","12871.0","25888.0","-13017.0"
"１．産業_(3)製造業_⑫輸送機械","15705.0","5731.0","9974.0","356.0","9618.0","542.0","9076.0","3267.0","5809.0"
"１．産業_(3)製造業_⑬精密機械","11618.0","4781.0","6837.0","1725.0","5112.0","392.0","4720.0","5328.0","-608.0"
"１．産業_(3)製造業_⑭その他の製造業","184475.0","103901.0","80574.0","7273.0","73301.0","4713.0","68588.0","41242.0","27346.0"
"","","","","","","","","",""
"１．産業_(4)建設業","458807.0","248790.0","210017.0","28072.0","181945.0","8732.0","173213.0","80890.0","92323.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","279637.0","215599.0","64038.0","30832.0","33206.0","7108.0","26098.0","34728.0","-8630.0"
"１．産業_(6)卸売･小売業","535409.0","175038.0","360371.0","31372.0","328999.0","22328.0","306671.0","97723.0","208948.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","213287.0","73222.0","140065.0","22090.0","117975.0","-2220.0","120195.0","54526.0","65669.0"
"１．産業_(8)不動産業","510553.0","83779.0","426774.0","150473.0","276301.0","26504.0","249797.0","8279.0","241518.0"
"１．産業_(9)運輸業","236865.0","116052.0","120813.0","30787.0","90026.0","8097.0","81929.0","70012.0","11917.0"
"１．産業_(10)情報通信業","156132.0","69280.0","86852.0","17803.0","69049.0","4839.0","64210.0","19023.0","45187.0"
"１．産業_(11)サ－ビス業","980216.0","397680.0","582536.0","103244.0","479292.0","24534.0","454758.0","341532.0","113226.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","479687.0","95866.0","383821.0","113287.0","270534.0","489.0","270045.0","270045.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","27538.0","13399.0","14139.0","11919.0","2220.0","0.0","2220.0","2220.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","117410.0","17330.0","100080.0","4326.0","95754.0","31.0","95723.0","95723.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","334739.0","65137.0","269602.0","97042.0","172560.0","458.0","172102.0","172102.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","127726.0","39511.0","88215.0","6180.0","82035.0","1673.0","80362.0","80362.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","127726.0","39511.0","88215.0","6180.0","82035.0","1673.0","80362.0","80362.0","0.0"
"","","","","","","","","",""
"小計","7108347.0","3575421.0","3532924.0","680000.0","2852924.0","291082.0","2561842.0","1340546.0","1221296.0"
"","","","","","","","","",""
"輸入品に課される税・関税","41812.0","0.0","41812.0","0.0","41812.0","41812.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","18246.0","0.0","18246.0","0.0","18246.0","18246.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","7131913.0","3575421.0","3556490.0","680000.0","2876490.0","314648.0","2561842.0","1340546.0","1221296.0"
